"","department","arrests","town","pop2013"
"1","Connecticut State Police",1480,"CONNECTICUT STATE POLICE",NA
"2","Groton Town Police Department",209,"GROTON TOWN",NA
"3","UCONN Police Department",125,"UCONN",NA
"4","Willimantic Police Department",111,"WILLIMANTIC",NA
"5","Groton City Police Department",42,"GROTON CITY",NA
"6","E.C.S.U. Police Department",14,"E.C.S.U.",NA
"7","S.C.S.U. Police Department",13,"S.C.S.U.",NA
"8","C.C.S.U. Police Department",10,"C.C.S.U.",NA
"9","UCONN Health Center",2,"UCONN HEALTH CENTER",NA
"10","Capitol Police Department",1,"CAPITOL",NA
