"","Town","Per capita arrets","Total arrests"
"1","New Haven",111.32593717872,1451
"2","Stamford",62.0992781967015,770
"3","Norwalk",87.9778956982162,761
"4","West Hartford",63.3091253552258,401
"5","New London",139.190952588082,384
"6","Middletown",74.8858831696081,356
"7","East Hartford",64.0112409984192,328
"8","Southington",66.7621511735354,289
"9","Glastonbury",81.6184770339498,282
"10","Windsor",84.8797250859106,247
"11","Clinton",179.016542034897,237
"12","Farmington",81.0098706201581,206
"13","Wallingford",43.4474197552758,196
"14","Stratford",36.5613030525786,189
"15","Derby",132.388443267658,170
"16","Greenwich",26.5660181750441,164
"17","Hamden",26.1924904015097,161
"18","Vernon",54.1485314781178,158
"19","Fairfield",24.2823404184546,146
"20","Bristol",22.9615435443373,139
"21","Torrington",37.9911816089404,137
"22","Waterford",62.0258355546442,121
"23","Granby",104.57284650833,118
"24","Naugatuck",34.2918265903228,109
"25","Bloomfield",49.6060694484972,102
"26","Trumbull",27.5854459187333,100
"27","Ansonia",48.0091843657047,92
"28","Seymour",53.8252192319323,89
"29","Wethersfield",31.5908236179015,84
"30","Old Saybrook",79.9376096705011,82
"31","New Canaan",40.1243855953456,80
"32","Orange",53.8251758289077,75
"33","Brookfield",44.5407487661009,74
"34","New Milford",25.3725476181968,71
"35","North Haven",28.7368289533964,69
"36","Cheshire",23.236741388737,68
"37","Westport",23.9082520826329,64
"38","East Hampton",47.1078847787474,61
"39","Bethel",31.76788267062,60
"40","Newtown",21.2444188391185,59
"41","Watertown",24.5678295439317,55
"42","Berlin",26.7604935824372,54
"43","East Haven",17.828367675798,52
"44","Branford",18.1980374665477,51
"45","Darien",24.3727598566308,51
"46","Avon",26.9156825048064,49
"47","Cromwell",31.2588803637397,44
"48","Windsor Locks",33.5168781422073,42
"49","Simsbury",16.9556186681362,40
"50","Redding",42.3590746171391,39
"51","Putnam",39.7989107666527,38
"52","Plymouth",30.4576885083964,37
"53","East Windsor",31.9120645332861,36
"54","Suffield",22.8847498569703,36
"55","Wilton",19.6153217457636,36
"56","Winchester",30.4932735426009,34
"57","Ridgefield",13.289839313761,33
"58","Shelton",7.49887516872469,30
"59","Woodbridge",32.2903908250752,29
"60","Plainfield",17.6240208877285,27
"61","Stonington",14.573325416959,27
"62","North Branford",15.9911006048808,23
"63","Canton",18.4394409937888,19
"64","Wolcott",11.385426653883,19
"65","Coventry",12.0627261761158,15
"66","Monroe",7.64097600733534,15
"67","Easton",17.2185430463576,13
"68","Madison",7.10809776368309,13
"69","Thomaston",14.046737326012,11
"70","Weston",5.84738329597505,6
"71","Middlebury",5.29801324503311,4
